name	born	died	url	era
Melchior Borchgrevinck	1570	1632	https://en.wikipedia.org/wiki/Melchior_Borchgrevinck	Renaissance
Alexander Borodin	1833	1887	https://en.wikipedia.org/wiki/Alexander_Borodin	Romantic-era
Sergei Bortkiewicz	1877	1952	https://en.wikipedia.org/wiki/Sergei_Bortkiewicz	Romantic-era
Cornelis Boscoop	1531	1573	https://en.wikipedia.org/wiki/Cornelis_Boscoop	Renaissance
Franciscus Bossinensis	1509	1511	https://en.wikipedia.org/wiki/Franciscus_Bossinensis	Renaissance
Giovanni Bottesini	1821	1889	https://en.wikipedia.org/wiki/Giovanni_Bottesini	Romantic-era
Josse Boutmy	1697	1779	https://en.wikipedia.org/wiki/Josse_Boutmy	Baroque-Classical
François Bouvard	1684	1760	https://en.wikipedia.org/wiki/Fran%C3%A7ois_Bouvard	Baroque-Classical
Guillaume Bouzignac	1592	1641	https://en.wikipedia.org/wiki/Guillaume_Bouzignac	Renaissance-Baroque
Christian Ludwig Boxberg	1670	1729	https://en.wikipedia.org/wiki/Christian_Ludwig_Boxberg	Baroque
Simon Boyleau	1544	1586	https://en.wikipedia.org/wiki/Simon_Boyleau	Renaissance
Jacques Boyvin	1649	1706	https://en.wikipedia.org/wiki/Jacques_Boyvin	Baroque
Hans Brachrogge	1590	1638	https://en.wikipedia.org/wiki/Hans_Brachrogge	Renaissance
Jean Braconnier	1478	1512	https://en.wikipedia.org/wiki/Jean_Braconnier	Renaissance
William Brade	1560	1630	https://en.wikipedia.org/wiki/William_Brade	Renaissance-Baroque
Johannes Brahms	1833	1897	https://en.wikipedia.org/wiki/Johannes_Brahms	Romantic-era
Jan Brandts Buys	1868	1933	https://en.wikipedia.org/wiki/Jan_Brandts_Buys	Romantic-era
Johannes Brassart	1405	1455	https://en.wikipedia.org/wiki/Johannes_Brassart	url-Medieval
Louis Brassin	1840	1884	https://en.wikipedia.org/wiki/Louis_Brassin	Romantic-era
Bettina Brentano	1785	1859	https://en.wikipedia.org/wiki/Bettina_Brentano	Classical-era
Jan Josef Ignác Brentner	1689	1742	https://en.wikipedia.org/wiki/Jan_Josef_Ign%C3%A1c_Brentner	Baroque
Giuseppe Antonio Brescianello	1690	1758	https://en.wikipedia.org/wiki/Giuseppe_Antonio_Brescianello	Baroque-Classical
Giovanni Battista Brevi	1650	1725	https://en.wikipedia.org/wiki/Giovanni_Battista_Brevi	Baroque
Frank Bridge	1879	1941	https://en.wikipedia.org/wiki/Frank_Bridge	Romantic-era
Wolfgang Carl Briegel	1626	1712	https://en.wikipedia.org/wiki/Wolfgang_Carl_Briegel	Baroque
Estêvão de Brito	1575	1641	https://en.wikipedia.org/wiki/Est%C3%AAv%C3%A3o_de_Brito	Renaissance-Baroque
Benjamin Britten	1913	1976	https://en.wikipedia.org/wiki/Benjamin_Britten	Romantic-era
Šimon Brixi	1693	1735	https://en.wikipedia.org/wiki/%C5%A0imon_Brixi	Baroque
Maria Brizzi Giorgi	1775	1822	https://en.wikipedia.org/wiki/Maria_Brizzi_Giorgi	Classical-era
Riccardo Broschi	1698	1756	https://en.wikipedia.org/wiki/Riccardo_Broschi	Baroque-Classical
Sébastien de Brossard	1655	1730	https://en.wikipedia.org/wiki/S%C3%A9bastien_de_Brossard	Baroque
Harriet Browne	1790	1858	https://en.wikipedia.org/wiki/Harriet_Browne	Classical-Romantic
Max Bruch	1838	1920	https://en.wikipedia.org/wiki/Max_Bruch	Romantic-era
Arnold von Bruck	1500	1554	https://en.wikipedia.org/wiki/Arnold_von_Bruck	Renaissance
Anton Bruckner	1824	1896	https://en.wikipedia.org/wiki/Anton_Bruckner	Romantic-era
Joan Brudieu	1520	1591	https://en.wikipedia.org/wiki/Joan_Brudieu	Renaissance
Nicolaus Bruhns	1665	1697	https://en.wikipedia.org/wiki/Nicolaus_Bruhns	Baroque
Antoine Brumel	1512	1513	https://en.wikipedia.org/wiki/Antoine_Brumel	Renaissance
Pablo Bruna	1611	1679	https://en.wikipedia.org/wiki/Pablo_Bruna	Baroque
Arnold Brunckhorst	1670	1725	https://en.wikipedia.org/wiki/Arnold_Brunckhorst	Baroque
Antonio Brunelli	1577	1630	https://en.wikipedia.org/wiki/Antonio_Brunelli	Renaissance-Baroque
Gaetano Brunetti	1744	1798	https://en.wikipedia.org/wiki/Gaetano_Brunetti	Classical-era
Hans Buchner	1483	1538	https://en.wikipedia.org/wiki/Hans_Buchner	Renaissance
Philipp Friedrich Buchner	1614	1669	https://en.wikipedia.org/wiki/Philipp_Friedrich_Buchner	Baroque
Olivia Buckley	1790	1845	https://en.wikipedia.org/wiki/Olivia_Buckley	Classical-Romantic
Benedictus Buns	1642	1716	https://en.wikipedia.org/wiki/Benedictus_Buns	Baroque
Giovanni Battista Buonamente	1595	1642	https://en.wikipedia.org/wiki/Giovanni_Battista_Buonamente	Baroque
Friedrich Burgmüller	1806	1874	https://en.wikipedia.org/wiki/Johann_Friedrich_Franz_Burgm%C3%BCller	Romantic-era
Norbert Burgmüller	1810	1836	https://en.wikipedia.org/wiki/Norbert_Burgm%C3%BCller	Romantic-era
Antoine Busnois	1430	1492	https://en.wikipedia.org/wiki/Antoine_Busnois	Renaissance
Ferruccio Busoni	1866	1924	https://en.wikipedia.org/wiki/Ferruccio_Busoni	Romantic-era
Pieter Bustijn	1649	1729	https://en.wikipedia.org/wiki/Pieter_Bustijn	Baroque
Johann Heinrich Buttstett	1666	1727	https://en.wikipedia.org/wiki/Johann_Heinrich_Buttstett	Baroque
Jacques Buus	1500	1565	https://en.wikipedia.org/wiki/Jacques_Buus	Renaissance
Dieterich Buxtehude	1637	1707	https://en.wikipedia.org/wiki/Dieterich_Buxtehude	Baroque
William Byrd	1540	1623	https://en.wikipedia.org/wiki/William_Byrd	Renaissance-Baroque
Byttering	1410	1420	https://en.wikipedia.org/wiki/Byttering	url-Medieval
Antonio de Cabezón	1510	1566	https://en.wikipedia.org/wiki/Antonio_de_Cabez%C3%B3n	Renaissance
Hernando de Cabezón	1541	1602	https://en.wikipedia.org/wiki/Hernando_de_Cabez%C3%B3n	Renaissance-Baroque
Francesca Caccini	1587	1640	https://en.wikipedia.org/wiki/Francesca_Caccini	Baroque
Giulio Caccini	1551	1618	https://en.wikipedia.org/wiki/Giulio_Caccini	Renaissance-Baroque
Settimia Caccini	1591	1638	https://en.wikipedia.org/wiki/Settimia_Caccini	Baroque
Pierre Cadéac	1538	1556	https://en.wikipedia.org/wiki/Pierre_Cad%C3%A9ac	Renaissance
Pasquale Cafaro	1716	1787	https://en.wikipedia.org/wiki/Pasquale_Cafaro	Classical-era
Gioseppe Caimo	1545	1584	https://en.wikipedia.org/wiki/Gioseppe_Caimo	Renaissance
Antonio Caldara	1671	1736	https://en.wikipedia.org/wiki/Antonio_Caldara	Baroque
Antonio Calegari	1757	1828	https://en.wikipedia.org/wiki/Antonio_Calegari	Classical-era
Maria Cattarina Calegari	1644	1675	https://en.wikipedia.org/wiki/Maria_Cattarina_Calegari	Baroque
Robert Cambert	1628	1677	https://en.wikipedia.org/wiki/Robert_Cambert	Baroque
Giuseppe Cambini	1746	1825	https://en.wikipedia.org/wiki/Giuseppe_Cambini	Classical-era
Bartolomeo Campagnoli	1751	1827	https://en.wikipedia.org/wiki/Bartolomeo_Campagnoli	Classical-era
Thomas Campion	1567	1620	https://en.wikipedia.org/wiki/Thomas_Campion	Renaissance-Baroque
Carlo Antonio Campioni	1720	1788	https://en.wikipedia.org/wiki/Carlo_Antonio_Campioni	Classical-era
André Campra	1660	1744	https://en.wikipedia.org/wiki/Andr%C3%A9_Campra	Baroque
Cornelius Canis	1510	1561	https://en.wikipedia.org/wiki/Cornelius_Canis	Renaissance
Christian Cannabich	1731	1798	https://en.wikipedia.org/wiki/Christian_Cannabich	Classical-era
Joseph Canteloube	1879	1957	https://en.wikipedia.org/wiki/Joseph_Canteloube	Romantic-era
Vincenzo Capirola	1474	1548	https://en.wikipedia.org/wiki/Vincenzo_Capirola	Renaissance
Samuel Capricornus	1628	1665	https://en.wikipedia.org/wiki/Samuel_Capricornus	Baroque
Giuseppe Antonio Capuzzi	1755	1818	https://en.wikipedia.org/wiki/Antonio_Capuzzi	Classical-era
Marchetto Cara	1465	1525	https://en.wikipedia.org/wiki/Marchetto_Cara	Renaissance
Michele Carafa	1787	1872	https://en.wikipedia.org/wiki/Michele_Carafa	Classical-Romantic
Manuel Cardoso	1566	1650	https://en.wikipedia.org/wiki/Manuel_Cardoso	Renaissance-Baroque
Cristoforo Caresana	1640	1709	https://en.wikipedia.org/wiki/Cristoforo_Caresana	Baroque
Giacomo Carissimi	1605	1674	https://en.wikipedia.org/wiki/Giacomo_Carissimi	Baroque
Firminus Caron	1460	1475	https://en.wikipedia.org/wiki/Firminus_Caron	Renaissance
Fabritio Caroso	1535	1600	https://en.wikipedia.org/wiki/Fabritio_Caroso	Renaissance-Baroque
John Alden Carpenter	1876	1951	https://en.wikipedia.org/wiki/John_Alden_Carpenter	Romantic-era
Benjamin Carr	1768	1831	https://en.wikipedia.org/wiki/Benjamin_Carr	Classical-era
António Carreira	1551	1589	https://en.wikipedia.org/wiki/Ant%C3%B3nio_Carreira	Renaissance
