name	born	died	url
Gregorio Allegri	1582	1652	https://en.wikipedia.org/wiki/Gregorio_Allegri
Steve Allen	1921	2000	https://en.wikipedia.org/wiki/Steve_Allen
Pedro Humberto Allende	1885	1959	https://en.wikipedia.org/wiki/Pedro_Humberto_Allende
Richard Allison	1570	1610	https://en.wikipedia.org/wiki/Richard_Allison_(composer)
Frances Allitsen	1848	1912	https://en.wikipedia.org/wiki/Frances_Allitsen
Francisco António de Almeida	1702	1755	https://en.wikipedia.org/wiki/Francisco_Ant%C3%B3nio_de_Almeida
João Pedro de Almeida Mota	1744	1817	https://en.wikipedia.org/wiki/Jo%C3%A3o_Pedro_de_Almeida_Mota
Laurindo Almeida	1917	1995	https://en.wikipedia.org/wiki/Laurindo_Almeida
Carl Jonas Love Almqvist	1793	1866	https://en.wikipedia.org/wiki/Carl_Jonas_Love_Almqvist
Eyvind Alnæs	1872	1932	https://en.wikipedia.org/wiki/Eyvind_Aln%C3%A6s
Daniel Alomía Robles	1871	1842	https://en.wikipedia.org/wiki/Daniel_Alom%C3%ADa_Robles
Francisco Alonso	1887	1948	https://en.wikipedia.org/wiki/Francisco_Alonso
Yardena Alotin	1930	1994	https://en.wikipedia.org/wiki/Yardena_Alotin
Johann Ernst Altenburg	1734	1801	https://en.wikipedia.org/wiki/Johann_Ernst_Altenburg
Michael Altenburg	1584	1640	https://en.wikipedia.org/wiki/Michael_Altenburg
Martha Alter	1904	1976	https://en.wikipedia.org/wiki/Martha_Alter
Johann Christoph Altnickol	1720	1759	https://en.wikipedia.org/wiki/Johann_Christoph_Altnickol
Fermín María Álvarez	1833	1898	https://en.wikipedia.org/wiki/Ferm%C3%ADn_Mar%C3%ADa_%C3%81lvarez
Antonio Álvarez Alonso	1867	1903	https://en.wikipedia.org/wiki/Antonio_%C3%81lvarez_Alonso
Elias Parish Alvars	1808	1849	https://en.wikipedia.org/wiki/Elias_Parish_Alvars
Berta Alves de Sousa	1906	1997	https://en.wikipedia.org/wiki/Berta_Alves_de_Sousa
William Alwyn	1905	1985	https://en.wikipedia.org/wiki/William_Alwyn
Alexander Alyabyev	1787	1851	https://en.wikipedia.org/wiki/Alexander_Alyabyev
Filippo Amadei	1665	1725	https://en.wikipedia.org/wiki/Filippo_Amadei
