name,born,died,url,spotify_id,spotify_related_artist_idsMary Anne à Beckett,1817,1863,https://en.wikipedia.org/wiki/Mary_Anne_%C3%A0_Beckett,,
John Amner,1579,1641,https://en.wikipedia.org/wiki/John_Amner,3ZNrPwUNdboLmeTdOeprOb,994:2260:339:2499
Cataldo Amodei,1650,1695,https://en.wikipedia.org/wiki/Cataldo_Amodei,32u8lZMtlDn16kP68iLy0E,
Juan de Anchieta,1462,1523,https://en.wikipedia.org/wiki/Juan_de_Anchieta,77WskhzKgGE3MRBQ90L1FH,1398:803:3033:1301:1318:908:1627:2500:2061:1481:3303:1346:893:2792
Johann Andreas Amon,1763,1825,https://en.wikipedia.org/wiki/Johann_Andreas_Amon,1SBvy4vbA7Dal1a5nj0H9c,
Fritz Andersen,1829,1910,https://en.wikipedia.org/wiki/Fritz_Andersen,1W553L7XGLFMLRA7rHXdBm,
Joachim Andersen,1847,1909,https://en.wikipedia.org/wiki/Joachim_Andersen,6TKarOMHIy7lBEGRcCMCI3,2437:3138:277:215:1211:119:566:2967:134:3222:2765:3187
Leroy Anderson,1908,1975,https://en.wikipedia.org/wiki/Leroy_Anderson,05nvOoQuNJtAo1tsX1GQWm,522:3465:1667:1472:1726:1629
Tom Anderson,1910,1991,https://en.wikipedia.org/wiki/Tom_Anderson_(fiddler),6rgFHvmgOgheOcHHfhiYpl,
Johann André,1741,1799,https://en.wikipedia.org/wiki/Johann_Andr%C3%A9,4NP38m0Ymh0n5YNkDhkDMl,
Elfrida Andrée,1841,1929,https://en.wikipedia.org/wiki/Elfrida_Andr%C3%A9e,5tCLiIx6qiTYM1zructu6n,1703:520:3138:119:2561:2657:3092:978:2536:1348:1935:1088:1861:1806:2878
Johann Anton André,1775,1842,https://en.wikipedia.org/wiki/Johann_Anton_Andr%C3%A9,,
Elfrida Andrée,1841,1929,https://en.wikipedia.org/wiki/Elfrida_Andr%C3%A9e,5tCLiIx6qiTYM1zructu6n,1703:520:3138:119:2561:2657:3092:978:2536:1348:1935:1088:1861:1806:2878
Iosif Andriasov,1933,2000,https://en.wikipedia.org/wiki/Iosif_Andriasov,1XMXcVNC5EYitPW99dZa4A,
Hendrik Andriessen,1892,1981,https://en.wikipedia.org/wiki/Hendrik_Andriessen,2zeJd0rV9PMRXcxxLLsy9h,3357:1965:693:2684:2968:1320:1196:332:1168
Jurriaan Andriessen,1925,1996,https://en.wikipedia.org/wiki/Jurriaan_Andriessen_(composer),67bQGnHjFUmxsCPGFbf07L,1141:693:3357:1320
Willem Andriessen,1887,1964,https://en.wikipedia.org/wiki/Willem_Andriessen,,
José Escolástico Andrino,1817,1862,https://en.wikipedia.org/wiki/Jos%C3%A9_Escol%C3%A1stico_Andrino,,
Felice Anerio,1560,1614,https://en.wikipedia.org/wiki/Felice_Anerio,5kdfhNRwV47yWAoTQcZxxz,1148:3416:1741:1064:2303:1433:420:2474:1157:2729
Giovanni Francesco Anerio,1567,1630,https://en.wikipedia.org/wiki/Giovanni_Francesco_Anerio,2HrQ91gj64g3ie5Ui4QyLq,
Pasquale Anfossi,1727,1797,https://en.wikipedia.org/wiki/Pasquale_Anfossi,0ASAcfLQK0TxF5ZcGbyvI2,2990:3444:236:2801:2238:454:1696:1264:3414:3113:1012:3476:2840:1119:900
Gasparo Angiolini,1731,1803,https://en.wikipedia.org/wiki/Gasparo_Angiolini,,
Jean,1629,1691,https://en.wikipedia.org/wiki/Jean-Henri_d%27Anglebert,2ipBhKpOYqs6BbysLNGye6,
Giovanni Animuccia,1520,1571,https://en.wikipedia.org/wiki/Giovanni_Animuccia,1o1mThePdIpMMwvffCshgJ,
Anna Amalia,1723,1787,https://en.wikipedia.org/wiki/Princess_Anna_Amalia_of_Prussia,7r49v3Ce6pTh5yw4T8RFRx,
Anna Amalia,1739,1807,https://en.wikipedia.org/wiki/Duchess_Anna_Amalia_of_Brunswick-Wolfenb%C3%BCttel,7r49v3Ce6pTh5yw4T8RFRx,
Lucia Contini Anselmi,1876,1913,https://en.wikipedia.org/wiki/Lucia_Contini_Anselmi,,
Conrad Ansorge,1862,1930,https://en.wikipedia.org/wiki/Conrad_Ansorge,,
Elizabeth Anspach,1750,1828,https://en.wikipedia.org/wiki/Elizabeth_Anspach,,
John Antes,1740,1811,https://en.wikipedia.org/wiki/John_Antes,1qkBPp9bv8E0ftiG1f6SE0,2806:2654:591:605
George Antheil,1900,1959,https://en.wikipedia.org/wiki/George_Antheil,00iJnnUu476m1HX16e3por,2569:2251:708:931:1087:296:1769:1819
Andrea Antico,1480,1538,https://en.wikipedia.org/wiki/Andrea_Antico,6uEaksiRQFwzw11gR0E5mk,2098:3518:2636:1477:1490:3325:420:1741:1356
John Antill,1904,1986,https://en.wikipedia.org/wiki/John_Antill,5c4APCC6LTJzTRl2fEqzGs,3301:1829:1265:2783:931:1998:1787:2438:625:1640:1819:2812:2818
Antonio da Cividale,1392,1421,https://en.wikipedia.org/wiki/Antonio_da_Cividale,5jEyKpqoDq2cBcoqCawwv5,
Antonio José,1902,1936,https://en.wikipedia.org/wiki/Antonio_Jos%C3%A9,1dbp04JzZ81JXlMGupCnJ8,
Giovanni D,1906,1974,https://en.wikipedia.org/wiki/Giovanni_D%27Anzi,14yj96AKXI2X9XBbaKomB0,
David August von Apell,1754,1832,https://en.wikipedia.org/w/index.php?title=David_August_von_Apell&action=edit&redlink=1,4wEDhlyxjqBwp2Wl5sJWbz,
Denis ApIvor,1916,2004,https://en.wikipedia.org/wiki/Denis_ApIvor,,
Giuseppe Apolloni,1822,1889,https://en.wikipedia.org/wiki/Giuseppe_Apolloni,,
